year,latitude,longitude,notes,external
1902a,51.6125075,-0.1808578,TODO:Thornton Villa,
1902b,51.5397381,-0.2086757,TODO:,
1903,51.58840,-0.11461,,
1903a,51.6217525,-0.1056482,TODO,
1903b,51.621481,-0.0617196,TODO,
1903c,51.6354372,-0.052086,TODO:Ringwood,
1903d,51.6364076,-0.0509775,TODO:Hambrook Terrace,
1903e,51.6608883,-0.079104,TODO:Bell Terrace,
1903f,51.4468681,-0.3279992,TODO,
1903g,51.50664,-0.26321,TODO:ADC,
1903h,51.48653,-0.30763,TODO:The Gift of Andrew Carnegie Esq,254134636
1904,51.6176994,-0.1092371,TODO,
1904a,51.6356099,-0.0519908,TODO:Downham,
1905,51.5584532,-0.2174762,,
1905a,51.51115,-0.37577,TODO,
1905b,51.6061519,-0.0681858,TODO,
1905c,51.48780,-0.30125,TODO:Edith Cottages,
1906,51.5775976,-0.239595,,
1906a,51.6529456,-0.0805599,TODO:Town Parade,
1906b,51.61581,-0.17638,TODO,
1906c,51.5879369,-0.1197484,TODO:This stone was laid by W.C. Parkinson Esq L.C.C. 19th September,
1906d,51.4934009,-0.2674967,TODO:Dewsbury Crescent,
1907,51.60418,-0.19016,,
1907a,51.59488,-0.06906,TODO,
1907b,51.58907,-0.16416,TODO,
1907c,51.6134334,-0.0646478,TODO,
1908,51.61496,-0.17696,,
1908a,51.63082,-0.17485,TODO,
1909,51.6630342,-0.0772972,TODO,
1910,51.5964513,-0.3343658,,
1910a,51.6140427,-0.2488684,TODO,
1910b,51.61226,-0.17552,TODO:Woodhouse Parade,
1911,51.6092539,-0.3689304,,
1911a,51.6077094,-0.340214,TODO,
1913,51.58867,-0.16392,,
1913a,51.57025,-0.33993,TODO:On drainpipe,
1914,51.54702,-0.20413,,
1914a,51.5989031,-0.0679869,TODO,
1919,51.51150,-0.31508,,
1923,51.6149468,-0.2756908,,
1924,51.4993832,-0.3830381,TODO,
1925,51.61380,-0.27616,,
1925a,51.6150139,-0.2461455,TODO,
1928,51.61265,-0.27730,Built by Cowen & Cross,
1929,51.51227,-0.38419,TODO,
1929a,51.5141824,-0.3018914,The Feathers Restaurant,
1930,51.50871,-0.33722,Rebuilt,
1930a,51.5986015,-0.0679257,TODO:[Reconstructed later],
1930b,51.50250,-0.30562,,913143859
1931,51.5882482,-0.2524284,Wakemans Hill Parade,
1931a,51.6205928,-0.0625341,TODO:E.U.D.C. Lending Library,
1931b,51.6455265,-0.046521,TODO,
1931c,51.4736441,-0.3379382,TODO:M. Cowan,
1936,51.589062,-0.2533524,Wakemans Hill Parade,
1951,51.58966,-0.21855,GR,
1982,51.5775457,-0.3336037,TODO:Rebuilt,
1994,51.5813749,-0.3349292,TODO,
2000,51.6124546,-0.180737,TODO,
2001,51.48603,-0.30738,TODO,
2002,51.658522,-0.088173,TODO,
2009,51.5796091,-0.2418664,TODO,
2018,51.51689,-0.302682,TODO,
